,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
102,dhmix_962524540250306235,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2681,,c1ccncc1,Solvent,0.7319,,-0.8915,0.0182,,,10.1016/j.jct.2010.12.028
103,dhmix_1000930562998604270,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7735,,c1ccncc1,Solvent,0.2265,,-0.7828,0.016,,,10.1016/j.jct.2010.12.028
104,dens_1203111494553524663,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4837,,c1ccncc1,Solvent,0.5163,,,,0.9912370000000004,0.000117,10.1016/j.jct.2010.12.028
105,dens_1316174752280431242,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2374,,c1ccncc1,Solvent,0.7626,,,,0.9863750000000002,0.000118,10.1016/j.jct.2010.12.028
106,dhmix_1371524052813651708,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4826,,c1ccncc1,Solvent,0.5174000000000001,,-1.0329,0.02105,,,10.1016/j.jct.2010.12.028
107,dens_2188924364196997512,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7678,,c1ccncc1,Solvent,0.2321999999999999,,,,0.9936220000000002,0.000117,10.1016/j.jct.2010.12.028
108,dhmix_972091313059406932,298.15,101.0,Liquid,2,CCCNCCC,Solvent,0.2481999999999999,,CN(C)C=O,Solvent,0.7518,,0.613,0.0195,,,10.1016/j.fluid.2019.112283
109,dhmix_1037416167092316519,298.15,101.0,Liquid,2,CCCNCCC,Solvent,0.4995,,CN(C)C=O,Solvent,0.5005,,0.748,0.0225,,,10.1016/j.fluid.2019.112283
110,dhmix_1525975551610336413,298.15,101.0,Liquid,2,CCCNCCC,Solvent,0.7496,,CN(C)C=O,Solvent,0.2504,,0.529,0.017,,,10.1016/j.fluid.2019.112283
111,dens_1610465641813938660,298.15,100.0,Liquid,2,CCCNCCC,Solvent,0.7459,,CN(C)C=O,Solvent,0.2541,,,,0.7687320000000002,0.0009355,10.1021/acs.jced.5b00802
112,dens_2129043605695010641,298.15,100.0,Liquid,2,CCCNCCC,Solvent,0.5034000000000001,,CN(C)C=O,Solvent,0.4966,,,,0.8108000000000002,0.0009885,10.1021/acs.jced.5b00802
113,dens_2129124855081233158,298.15,100.0,Liquid,2,CCCNCCC,Solvent,0.2522999999999999,,CN(C)C=O,Solvent,0.7477,,,,0.8674480000000002,0.0010625,10.1021/acs.jced.5b00802
114,dens_1112128096721834081,298.15,101.0,Liquid,2,CNCCO,Solvent,0.8009,,O,Solvent,0.1991,,,,0.9466300000000002,0.00032,10.1021/je060457+
115,dens_1381694863030749046,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1987,,O,Solvent,0.8013,,,,0.9960300000000002,0.00016,10.1021/je060457+
116,dhmix_1383192140212198237,298.15,101.0,Liquid,2,CNCCO,Solvent,0.7988,,O,Solvent,0.2012,,-1.219,0.025,,,10.1016/j.jct.2007.03.010
117,dens_1615304038745182966,298.15,101.0,Liquid,2,CNCCO,Solvent,0.5041,,O,Solvent,0.4959,,,,0.9688100000000002,0.000235,10.1021/je060457+
118,dhmix_1902240048183935170,298.15,101.0,Liquid,2,CNCCO,Solvent,0.5017,,O,Solvent,0.4982999999999999,,-2.508,0.051,,,10.1016/j.jct.2007.03.010
119,dhmix_2185888808838690563,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1992,,O,Solvent,0.8008,,-2.243,0.0455,,,10.1016/j.jct.2007.03.010
